Country ISO3,In Need,Targeted,revisedRequirements,Total_Population,Severity_Score,Cost_per_Beneficiary,Outlier_Flag
AFG,22887726,16790412,26874340201,40411869.0,3.6609754921258406,282.03017937633246,0
BFA,5915136,3672506,9143982691,23558491.0,0.6040858474339464,973.268662680132,0
CAF,2440338,1772631,8900842880,5513282.0,1.3873460490502754,2671.7391524905306,0
CMR,3322058,2100146,4918151548,29442318.0,0.513366848357524,451.0977211920426,0
COD,21241767,10988449,29152363199,103199358.0,0.877425458402561,694.0098440655999,0
COL,9053352,1991880,14003594571,53216592.0,0.3390149823949643,7360.573730863479,1
GTM,2163953,1000000,725184441,17843132.0,0.1509630708330802,1040.33081422122,0
HND,1640224,796974,1007973686,9892674.0,0.346467294889127,712.0786570750182,0
HTI,5986456,3941924,8878881497,11899555.0,2.4792830488198927,636.1250559455775,0
MLI,6431534,4709012,10471030802,17907114.0,1.0451067659478797,852.9092135346544,0
MMR,1957173,1132893,8301833520,55300000.0,2.5602382278481013,307.694941367038,0
MOZ,1305029,1097096,4493914370,35163992.0,0.0822829785651185,2489.355707679593,0
NER,2580329,2132111,10428677837,26367847.0,0.1273494191619057,3516.699641844657,0
NGA,7847048,3584107,12146842656,216798930.0,0.113720418269592,769.0991897539237,0
SDN,30440770,20934770,40860578631,47514529.0,3.973948052815592,467.405634855466,0
SLV,818700,407500,451342591,6350969.0,0.16048653362975,1047.6920475305074,0
SOM,5979741,4571657,25634934334,12327528.0,1.3141424623006333,2257.35004073103,0
SSD,9290088,5386982,26038709753,12394970.0,2.0194626529955295,1685.495858290675,0
TCD,7049226,5475571,14713583437,18033749.0,0.7897975068855622,3255.7736491719384,0
UKR,12708866,6016366,18657222917,39668881.0,1.624931063722216,890.1075022995481,0
VEN,7943720,5125664,5837433795,27225775.0,0.7810761309824973,555.0543412682995,0
YEM,19540217,10527030,39779457750,42961653.0,2.2959011609725537,751.9461266165621,0
