Country ISO3,In Need,Targeted,revisedRequirements,Total_Population,Severity_Score,Cost_per_Beneficiary,Outlier_Flag
AFG,147946862,95288881.0,26874340201,40411869.0,3.6609754921258406,282.03017937633246,0
BFA,14231351,9395127.0,9143982691,23558491.0,0.6040858474339464,973.2686626801319,0
CAF,7648830,3331479.0,8900842880,5513282.0,1.3873460490502754,2671.7391524905306,0
CMR,15114710,10902630.0,4918151548,29442318.0,0.513366848357524,451.0977211920426,0
COD,90549744,42005691.19916465,29152363199,103199358.0,0.877425458402561,694.0098440655999,0
COL,18041222,1902514.0,14003594571,53216592.0,0.33901498239496436,7360.573730863479,1
GTM,2693654,697071.0,725184441,17843132.0,0.1509630708330802,1040.33081422122,0
HND,3427488,1415537.0,1007973686,9892674.0,0.34646729488912703,712.0786570750182,0
HTI,29502365,13957761.0,8878881497,11899555.0,2.4792830488198927,636.1250559455775,0
MLI,18714846,12276841.0,10471030802,17907114.0,1.0451067659478797,852.9092135346544,0
MMR,141581174,26980728.0,8301833520,,0.0,307.694941367038,0
MOZ,2893398,1805252.0,4493914370,35163992.0,0.08228297856511854,2489.355707679593,0
NER,3357930,2965473.0,10428677837,26367847.0,0.12734941916190579,3516.699641844657,0
NGA,24654465,15793597.0,12146842656,216798930.0,0.11372041826959202,769.0991897539237,0
SDN,188820270,87419953.0,40860578631,47514529.0,3.9739480528155924,467.405634855466,0
SLV,1019245,430797.0,451342591,6350969.0,0.16048653362975004,1047.6920475305074,0
SOM,16200128,11356207.0,25634934334,12327528.0,1.3141424623006333,2257.3500407310294,0
SSD,25031179,15448694.0,26038709753,12394970.0,2.0194626529955295,1685.495858290675,0
TCD,14243010,4519228.0,14713583437,18033749.0,0.7897975068855622,3255.7736491719384,0
UKR,64459197,20960640.0,18657222917,,0.0,890.1075022995481,0
VEN,21265403,10516869.0,5837433795,27225775.0,0.7810761309824973,555.0543412682995,0
YEM,98635709,52902005.0,39779457750,,0.0,751.9461266165621,0
