Cluster,In Need,Targeted,Coverage
PRO,1287512190.0,394756282.0,0.3066039180568846
FSC,1074553938.0,596118116.0,0.5547586723375816
HEA,950032180.0,442272975.1991646,0.4655347308331857
WSH,946930219.0,424843964.0,0.44865392979923474
PRO-GBV,531055731.0,127903475.0,0.2408475561673206
PRO-CPN,503724649.0,166102076.223,0.32974776309388026
SHL,500333860.0,151903459.88,0.30360419716546866
EDU,393720391.0,128575574.0,0.3265656972285187
PRO-MIN,391551606.0,105113688.0,0.26845423793256
NUT,350834713.0,215944288.0,0.615515740028838
CCM,115523845.0,58101897.0,0.5029428946032743
PRO-HLP,102187659.0,25015684.0,0.24480141970959526
MS,26126298.0,24604848.0,0.9417655727573804
ERY,21644124.0,2815239.0,0.13006943593559156
MPC,16438514.0,71474355.0,4.347981514630824
CSS,2600769.0,8126010.0,3.1244643411237214
LOG,37950.0,37950.0,1.0
TEL,0.0,0.0,
