Country ISO3,Admin 1 Name,Population,In Need,Targeted,Cost_per_Beneficiary,Outlier_Flag,Severity_Score
COL,Choco,566358.0,365929,6128.0,7360.573730863479,1,0.6461089981954876
COL,Guainia,53839.0,31377,9289.0,7360.573730863479,1,0.5827931425175059
CMR,Nord-Ouest,2428174.0,1345161,998814.0,451.0977211920426,0,0.5539804808057412
CMR,Sud-Ouest,2098489.0,948174,708105.0,451.0977211920426,0,0.45183653571688964
COL,Vichada,119447.0,52641,0.0,7360.573730863479,1,0.440705919780321
COL,Amazonas,87452.0,38267,13194.0,7360.573730863479,1,0.4375771851987376
COL,Vaupes,55602.0,23511,0.0,7360.573730863479,1,0.42284450199633106
CMR,Extrême-Nord,5499116.0,2057523,1563870.0,451.0977211920426,0,0.37415522785844124
COL,La Guajira,1041773.0,385589,27962.0,7360.573730863479,1,0.3701276573687358
COL,Guaviare,96051.0,33887,8.0,7360.573730863479,1,0.35280215718732755
COL,Putumayo,384117.0,132468,11243.0,7360.573730863479,1,0.3448636743492217
COL,Arauca,314513.0,89666,99972.0,7360.573730863479,1,0.2850947337629923
COL,Cauca,1552125.0,409820,75880.0,7360.573730863479,1,0.26403801240235164
COL,Caqueta,432914.0,105318,74570.0,7360.573730863479,1,0.24327695570020835
COL,Narino,1636801.0,363913,118208.0,7360.573730863479,1,0.22233185341406805
COL,Cordoba,1891658.0,418040,2102.0,7360.573730863479,1,0.22099132084129372
COL,Sucre,999764.0,208484,0.0,7360.573730863479,1,0.20853321383846588
COL,Norte de Santander,1673562.0,280359,67487.0,7360.573730863479,1,0.16752232663026526
COL,Bolivar,2301442.0,379204,27519.0,7360.573730863479,1,0.1647680019744143
COL,Cesar,1393782.0,201322,1327.0,7360.573730863479,1,0.14444296166832402
COL,Casanare,449491.0,62774,0.0,7360.573730863479,1,0.13965574394148048
COL,Meta,1104120.0,145052,0.0,7360.573730863479,1,0.13137340144187226
COL,Magdalena,1502519.0,179798,1579.0,7360.573730863479,1,0.11966437695629806
COL,Huila,1166403.0,135123,0.0,7360.573730863479,1,0.11584589545808781
COL,Antioquia,7198868.0,678229,1864.0,7360.573730863479,1,0.09421328464419684
COL,Tolima,1356518.0,125068,0.0,7360.573730863479,1,0.09219781823757592
COL,Atlantico,2894367.0,231539,0.0,7360.573730863479,1,0.07999642063359623
COL,Quindio,592821.0,35448,0.0,7360.573730863479,1,0.05979545259024225
COL,Valle del Cauca,4691758.0,265293,95840.0,7360.573730863479,1,0.05654447650539521
COL,Caldas,1065980.0,59422,0.0,7360.573730863479,1,0.05574401020657048
COL,Bogota D.C.,8101412.0,340970,0.0,7360.573730863479,1,0.04208772495461285
COL,San Andres y Providencia,66269.0,2749,0.0,7360.573730863479,1,0.041482442771129786
COL,Risaralda,1008067.0,40149,0.0,7360.573730863479,1,0.039827709864522894
COL,Santander,2372022.0,94284,0.0,7360.573730863479,1,0.03974836658344653
CMR,Littoral,4498867.0,156945,0.0,451.0977211920426,0,0.03488545004775647
COL,Boyaca,1283903.0,35809,0.0,7360.573730863479,1,0.027890736293941207
COL,Cundinamarca,3760874.0,62238,0.0,7360.573730863479,1,0.016548812855735128
CMR,Ouest,2232838.0,26610,0.0,451.0977211920426,0,0.01191756858312157
AFG,Daykundi,0.0,1742550,1269135.0,282.03017937633246,0,0.0
AFG,Bamyan,0.0,992174,699358.0,282.03017937633246,0,0.0
AFG,Balkh,0.0,2348001,1402243.0,282.03017937633246,0,0.0
AFG,Baghlan,0.0,1940868,1274061.0,282.03017937633246,0,0.0
AFG,Badghis,0.0,925832,565720.0,282.03017937633246,0,0.0
AFG,Badakhshan,0.0,3660277,2660512.0,282.03017937633246,0,0.0
AFG,Sar-e-Pul,0.0,1593746,1142796.0,282.03017937633246,0,0.0
AFG,Takhar,0.0,2523187,1713105.0,282.03017937633246,0,0.0
AFG,Paktika,0.0,803643,528283.0,282.03017937633246,0,0.0
AFG,Nuristan,0.0,320299,176343.0,282.03017937633246,0,0.0
AFG,Nimroz,0.0,90012,44946.0,282.03017937633246,0,0.0
AFG,Nangarhar,0.0,1051549,519193.0,282.03017937633246,0,0.0
AFG,Paktya,0.0,798121,395748.0,282.03017937633246,0,0.0
AFG,Panjsher,0.0,341337,226340.0,282.03017937633246,0,0.0
AFG,Uruzgan,0.0,506282,338884.0,282.03017937633246,0,0.0
AFG,Zabul,0.0,694444,488350.0,282.03017937633246,0,0.0
AFG,Kabul,0.0,2447665,1236738.0,282.03017937633246,0,0.0
AFG,Jawzjan,0.0,1169580,773286.0,282.03017937633246,0,0.0
AFG,Hirat,0.0,2595399,1580151.0,282.03017937633246,0,0.0
AFG,Hilmand,0.0,4393634,3043483.0,282.03017937633246,0,0.0
AFG,Kunar,0.0,1149359,702021.0,282.03017937633246,0,0.0
AFG,Khost,0.0,346421,171866.0,282.03017937633246,0,0.0
AFG,Kapisa,0.0,144034,72019.0,282.03017937633246,0,0.0
AFG,Kandahar,0.0,1393663,907333.0,282.03017937633246,0,0.0
AFG,Ghor,0.0,839125,545690.0,282.03017937633246,0,0.0
AFG,Ghazni,0.0,1844541,1169371.0,282.03017937633246,0,0.0
AFG,Faryab,0.0,2449909,1653911.0,282.03017937633246,0,0.0
AFG,Farah,0.0,1131695,763036.0,282.03017937633246,0,0.0
AFG,Kunduz,0.0,1318065,816983.0,282.03017937633246,0,0.0
AFG,Laghman,0.0,152861,75756.0,282.03017937633246,0,0.0
AFG,Parwan,0.0,561906,308269.0,282.03017937633246,0,0.0
AFG,Samangan,0.0,1157908,830004.0,282.03017937633246,0,0.0
AFG,Maidan Wardak,0.0,556755,277899.0,282.03017937633246,0,0.0
AFG,Logar,0.0,570625,305659.0,282.03017937633246,0,0.0
MMR,Ayeyarwady,0.0,5288527,264427.0,307.694941367038,0,0.0
MMR,Bago (East),0.0,4079691,638531.0,307.694941367038,0,0.0
MMR,Bago (West),0.0,2668378,147568.0,307.694941367038,0,0.0
MMR,Chin,0.0,526624,212624.0,307.694941367038,0,0.0
MMR,Kachin,0.0,2989623,894999.0,307.694941367038,0,0.0
MMR,Kayah,0.0,603136,356645.0,307.694941367038,0,0.0
MMR,Kayin,0.0,2663262,995154.0,307.694941367038,0,0.0
MMR,Magway,0.0,3130400,955095.0,307.694941367038,0,0.0
MMR,Mandalay,0.0,2662237,184227.0,307.694941367038,0,0.0
MMR,Mon,0.0,1738181,485386.0,307.694941367038,0,0.0
MMR,Nay Pyi Taw,0.0,1124785,56240.0,307.694941367038,0,0.0
MMR,Rakhine,0.0,4007601,1217924.0,307.694941367038,0,0.0
MMR,Sagaing,0.0,3207632,577844.0,307.694941367038,0,0.0
MMR,Shan (East),0.0,1248316,187245.0,307.694941367038,0,0.0
MMR,Shan (North),0.0,2612265,393086.0,307.694941367038,0,0.0
MMR,Shan (South),0.0,1344606,422591.0,307.694941367038,0,0.0
MMR,Tanintharyi,0.0,1746746,548557.0,307.694941367038,0,0.0
MMR,Yangon,0.0,5332534,271848.0,307.694941367038,0,0.0
TCD,Batha,0.0,169943,37973.0,3255.7736491719384,1,0.0
TCD,Chari-Baguirmi,0.0,149289,22225.0,3255.7736491719384,1,0.0
TCD,Ennedi Est,0.0,37428,10350.0,3255.7736491719384,1,0.0
TCD,Guera,0.0,147063,28648.0,3255.7736491719384,1,0.0
TCD,Hadjer Lamis,0.0,177725,18766.0,3255.7736491719384,1,0.0
TCD,Kanem,0.0,117911,20448.0,3255.7736491719384,1,0.0
TCD,Lac,0.0,168037,33208.0,3255.7736491719384,1,0.0
TCD,Logone Occidental,0.0,162129,58326.0,3255.7736491719384,1,0.0
TCD,Logone Oriental,0.0,249357,108443.0,3255.7736491719384,1,0.0
TCD,Mandoul,0.0,220381,114192.0,3255.7736491719384,1,0.0
TCD,Mayo-Kebbi Est,0.0,237825,101802.0,3255.7736491719384,1,0.0
TCD,Mayo-Kebbi Ouest,0.0,48341,0.0,3255.7736491719384,1,0.0
TCD,Moyen-Chari,0.0,253357,93777.0,3255.7736491719384,1,0.0
TCD,N'Djamena,0.0,266652,126612.0,3255.7736491719384,1,0.0
TCD,Ouaddai,0.0,413996,117191.0,3255.7736491719384,1,0.0
TCD,Salamat,0.0,106606,19794.0,3255.7736491719384,1,0.0
TCD,Sila,0.0,217355,64897.0,3255.7736491719384,1,0.0
TCD,Tandjile,0.0,223758,110502.0,3255.7736491719384,1,0.0
TCD,Wadi Fira,0.0,193598,42653.0,3255.7736491719384,1,0.0
UKR,Cherkaska,0.0,436729,159596.0,890.107502299548,0,0.0
