iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
NPL,2026,6432454.0,532057600.0,0.0, |  |  |  |  |  |  | NPL,532057600.0,True
NPL,2027,6432454.0,532057600.0,0.0, |  |  |  |  |  |  | NPL,532057600.0,True
NPL,2028,6432454.0,532057600.0,0.0, |  |  |  |  |  |  | NPL,532057600.0,True
NPL,2029,6432454.0,532057600.0,0.0, |  |  |  |  |  |  | NPL,532057600.0,True
NPL,2030,6432454.0,532057600.0,0.0, |  |  |  |  |  |  | NPL,532057600.0,True
NGA,2026,6432454.0,532057600.0,0.0, |  |  | NGA,532057600.0,True
NGA,2027,6432454.0,532057600.0,0.0, |  |  | NGA,532057600.0,True
NGA,2028,6432454.0,532057600.0,0.0, |  |  | NGA,532057600.0,True
NGA,2029,6432454.0,532057600.0,0.0, |  |  | NGA,532057600.0,True
NGA,2030,6432454.0,532057600.0,0.0, |  |  | NGA,532057600.0,True
PSE,2026,6432454.0,532057600.0,0.0, |  | PSE,532057600.0,True
PSE,2027,6432454.0,532057600.0,0.0, |  | PSE,532057600.0,True
PSE,2028,6432454.0,532057600.0,0.0, |  | PSE,532057600.0,True
PSE,2029,6432454.0,532057600.0,0.0, |  | PSE,532057600.0,True
PSE,2030,6432454.0,532057600.0,0.0, |  | PSE,532057600.0,True
HTI,2026,6432454.0,532057600.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,532057600.0,True
HTI,2027,6432454.0,532057600.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,532057600.0,True
HTI,2028,6432454.0,532057600.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,532057600.0,True
HTI,2029,6432454.0,532057600.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,532057600.0,True
HTI,2030,6432454.0,532057600.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,532057600.0,True
NGA,2026,6432454.0,532057600.0,0.0, | NGA |  | ,532057600.0,True
NGA,2027,6432454.0,532057600.0,0.0, | NGA |  | ,532057600.0,True
NGA,2028,6432454.0,532057600.0,0.0, | NGA |  | ,532057600.0,True
NGA,2029,6432454.0,532057600.0,0.0, | NGA |  | ,532057600.0,True
NGA,2030,6432454.0,532057600.0,0.0, | NGA |  | ,532057600.0,True
