iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
AGO,2030,6432454.0,532057600.0,-1015900396.8169057,AGO,1547957996.8169057,True
AGO,2029,6432454.0,532057600.0,-971443777.3806092,AGO,1503501377.380609,True
AGO,2028,6432454.0,532057600.0,-926865358.9869527,AGO,1458922958.9869528,True
AGO,2027,6432454.0,532057600.0,-882408739.550656,AGO,1414466339.5506558,True
AGO,2026,6432454.0,532057600.0,-837952120.1143594,AGO,1370009720.1143594,True
TLS,2030,6432454.0,532057600.0,-429186916.19002193,TLS,961244516.190022,True
TLS,2029,6432454.0,532057600.0,-409127422.4514101,TLS,941185022.45141,True
TLS,2028,6432454.0,532057600.0,-389012971.1957063,TLS,921070571.1957064,True
TLS,2027,6432454.0,532057600.0,-368953477.45709443,TLS,901011077.4570944,True
TLS,2026,6432454.0,532057600.0,-348893983.7184826,TLS,880951583.7184826,True
CMR,2030,6432454.0,532057600.0,-314022484.7475558,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,846080084.7475557,True
CMR,2029,6432454.0,532057600.0,-291660617.16647977,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,823718217.1664798,True
CMR,2028,6432454.0,532057600.0,-269237484.19477063,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,801295084.1947706,True
CMR,2027,6432454.0,532057600.0,-246875616.61369464,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,778933216.6136947,True
CMR,2026,6432454.0,532057600.0,-224513749.0326186,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,756571349.0326186,True
SEN,2030,6432454.0,532057600.0,-157405967.48388284,SEN,689463567.4838829,True
SEN,2029,6432454.0,532057600.0,-143649772.88214877,SEN,675707372.8821487,True
GIN,2030,6432454.0,532057600.0,-134236522.24431697,GIN,666294122.2443169,True
SEN,2028,6432454.0,532057600.0,-129855890.07602635,SEN,661913490.0760263,True
GIN,2029,6432454.0,532057600.0,-127547734.28524669,GIN,659605334.2852467,True
GIN,2028,6432454.0,532057600.0,-120840620.87971324,GIN,652898220.8797133,True
SEN,2027,6432454.0,532057600.0,-116099695.47429222,SEN,648157295.4742923,True
GIN,2027,6432454.0,532057600.0,-114151832.92064299,GIN,646209432.920643,True
GIN,2026,6432454.0,532057600.0,-107463044.96157274,GIN,639520644.9615728,True
SEN,2026,6432454.0,532057600.0,-102343500.87255813,SEN,634401100.8725581,True
PAK,2030,6432454.0,532057600.0,-90467248.38471377,PAK,622524848.3847138,True
TJK,2030,6432454.0,532057600.0,-63968090.245244265,TJK,596025690.2452443,True
TJK,2029,6432454.0,532057600.0,-59761455.959482506,TJK,591819055.9594826,True
TJK,2028,6432454.0,532057600.0,-55543296.6482803,TJK,587600896.6482803,True
TJK,2027,6432454.0,532057600.0,-51336662.36251854,TJK,583394262.3625185,True
PAK,2029,6432454.0,532057600.0,-48729127.788378984,PAK,580786727.788379,True
TJK,2026,6432454.0,532057600.0,-47130028.07675678,TJK,579187628.0767568,True
GMB,2030,6432454.0,532057600.0,-33400891.930887267,GMB,565458491.9308872,True
GMB,2029,6432454.0,532057600.0,-29989196.231394768,GMB,562046796.2313948,True
GMB,2028,6432454.0,532057600.0,-26568153.42039682,GMB,558625753.4203968,True
GMB,2027,6432454.0,532057600.0,-23156457.720904324,GMB,555214057.7209044,True
GMB,2026,6432454.0,532057600.0,-19744762.021411832,GMB,551802362.0214118,True
PAK,2028,6432454.0,532057600.0,-6876656.176711816,PAK,538934256.1767118,True
BDI,2029,6432454.0,532057600.0,0.0,TZA | RWA | BDI,532057600.0,True
BDI,2030,6432454.0,532057600.0,0.0,TZA | RWA | BDI,532057600.0,True
ETH,2030,6432454.0,532057600.0,0.0,KEN | UGA | ETH,532057600.0,True
UGA,2026,6432454.0,532057600.0,0.0,TZA | RWA | UGA,532057600.0,True
ETH,2029,6432454.0,532057600.0,0.0,KEN | UGA | ETH,532057600.0,True
UGA,2027,6432454.0,532057600.0,0.0,TZA | RWA | UGA,532057600.0,True
UGA,2028,6432454.0,532057600.0,0.0,TZA | RWA | UGA,532057600.0,True
EGY,2027,6432454.0,532057600.0,0.0,LBY | NER | TUN | EGY,532057600.0,True
IRQ,2026,6432454.0,532057600.0,0.0,LBN | TUR | EGY | JOR | IRQ,532057600.0,True
IRQ,2028,6432454.0,532057600.0,0.0,LBN | TUR | EGY | JOR | IRQ,532057600.0,True
ETH,2029,6432454.0,532057600.0,0.0,LBY | UGA | EGY | ETH,532057600.0,True
IRQ,2029,6432454.0,532057600.0,0.0,LBN | TUR | EGY | JOR | IRQ,532057600.0,True
IRQ,2030,6432454.0,532057600.0,0.0,LBN | TUR | EGY | JOR | IRQ,532057600.0,True
SLE,2026,6432454.0,532057600.0,0.0,LBR | GIN | SLE,532057600.0,True
ETH,2030,6432454.0,532057600.0,0.0,LBY | UGA | EGY | ETH,532057600.0,True
ETH,2028,6432454.0,532057600.0,0.0,KEN | UGA | ETH,532057600.0,True
UGA,2030,6432454.0,532057600.0,0.0,KEN | ETH | UGA,532057600.0,True
ETH,2027,6432454.0,532057600.0,0.0,KEN | UGA | ETH,532057600.0,True
ETH,2026,6432454.0,532057600.0,0.0,KEN | UGA | ETH,532057600.0,True
IRQ,2027,6432454.0,532057600.0,0.0,LBN | TUR | EGY | JOR | IRQ,532057600.0,True
EGY,2030,6432454.0,532057600.0,0.0,LBY | NER | TUN | EGY,532057600.0,True
EGY,2026,6432454.0,532057600.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,532057600.0,True
EGY,2027,6432454.0,532057600.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,532057600.0,True
EGY,2028,6432454.0,532057600.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,532057600.0,True
EGY,2029,6432454.0,532057600.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,532057600.0,True
EGY,2030,6432454.0,532057600.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,532057600.0,True
ETH,2026,6432454.0,532057600.0,0.0,LBY | UGA | EGY | ETH,532057600.0,True
EGY,2026,6432454.0,532057600.0,0.0,LBY | NER | TUN | EGY,532057600.0,True
GNB,2030,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2029,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2028,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2027,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2026,6432454.0,532057600.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,532057600.0,True
KGZ,2027,6432454.0,532057600.0,0.0,KGZ,532057600.0,True
